id,issue_id,contributor_id,role_id,order
1,1,1,1,1
2,1,2,2,1
3,1,3,3,1
4,1,4,4,1
5,1,5,4,2
6,2,6,1,1
7,2,7,2,1
8,2,8,4,1
9,2,9,4,2
10,3,10,1,1
11,3,11,2,1
12,3,12,2,2
13,3,13,3,1
14,4,1,1,1
15,4,2,2,1
16,4,14,2,2
17,4,15,3,1
18,4,9,4,1
19,5,1,1,1
20,5,2,2,1
21,5,3,3,1
22,5,4,4,1
23,5,5,4,2
24,6,1,1,1
25,6,2,2,1
26,6,3,3,1
27,6,9,4,1
28,6,4,4,2
29,7,16,1,1
30,7,17,2,1
31,7,18,2,2
32,8,19,1,1
33,8,17,2,1
34,8,20,2,2
35,9,21,1,1
36,9,17,2,1
37,11,1,1,1
38,11,2,2,1
39,11,15,3,1
40,11,9,4,1
41,11,4,4,2
42,20,1,1,1
43,20,2,2,1
44,20,15,3,1
45,20,9,4,1
46,21,21,1,1
47,21,17,2,1
48,22,21,1,1
49,22,17,2,1
50,23,22,1,1
51,23,22,2,1
52,24,21,1,1
53,24,23,2,1
54,25,24,1,1
55,25,17,2,1
56,26,25,1,1
57,26,23,2,1
58,27,21,1,1
59,27,23,2,1
60,28,22,1,1
61,28,17,2,1
62,29,15,1,1
63,29,26,2,1
64,29,27,4,1
65,29,9,4,2
66,30,15,1,1
67,30,26,2,1
68,30,27,4,1
69,30,9,4,2
70,31,15,1,1
71,31,26,2,1
72,31,27,4,1
73,31,9,4,2
74,32,15,1,1
75,32,26,2,1
76,32,9,4,1
77,33,15,1,1
78,33,26,2,1
79,33,9,4,1
80,34,28,1,1
81,34,29,2,1
82,35,28,1,1
83,35,29,2,1
84,36,28,1,1
85,36,29,2,1
86,37,28,1,1
87,37,29,2,1
88,38,28,1,1
89,38,29,2,1
90,39,30,1,1
91,39,31,2,1
92,40,30,1,1
93,40,31,2,1
94,40,32,2,2
95,41,30,1,1
96,41,31,2,1
97,41,32,2,2
98,42,33,1,1
99,42,33,2,1
100,43,33,1,1
101,43,33,2,1
102,44,33,1,1
103,44,33,2,1
104,45,1,1,1
105,45,12,2,1
106,45,34,3,1
107,46,1,1,1
108,46,12,2,1
109,46,34,3,1
110,47,1,1,1
111,47,12,2,1
112,47,34,3,1
113,49,1,1,1
114,49,12,2,1
115,49,34,3,1
116,50,35,1,1
117,50,36,2,1
118,50,15,3,1
119,51,1,1,1
120,51,36,2,1
121,51,15,3,1
122,51,37,4,1
123,52,1,1,1
124,52,36,2,1
125,52,15,3,1
126,52,9,4,1
127,53,1,1,1
128,53,36,2,1
129,53,15,3,1
130,53,9,4,1
131,54,15,1,1
132,54,30,2,1
133,54,15,3,1
134,55,15,1,1
135,55,7,2,1
136,55,15,3,1
137,56,15,1,1
138,56,7,2,1
139,56,15,3,1
140,57,28,1,1
141,57,29,2,1
142,58,28,1,1
143,58,29,2,1
144,59,28,1,1
145,59,29,2,1
146,60,28,1,1
147,60,29,2,1
148,61,29,1,1
149,61,38,1,2
150,61,29,2,1
151,62,29,1,1
152,62,38,1,2
153,62,29,2,1
154,63,29,1,1
155,63,38,1,2
156,63,29,2,1
157,64,39,1,1
158,64,23,2,1
159,65,40,1,1
160,65,23,2,1
161,66,25,1,1
162,66,17,2,1
163,67,23,1,1
164,67,23,2,1
165,68,21,1,1
166,68,25,2,1
167,69,22,1,1
168,69,18,2,1
169,70,25,1,1
170,70,17,2,1
171,71,40,1,1
172,71,25,2,1
173,71,23,2,2
174,72,21,1,1
175,72,17,2,1
176,73,41,1,1
177,73,23,2,1
178,73,17,2,2
179,74,40,1,1
180,74,23,2,1
181,75,22,1,1
182,75,17,2,1
183,76,25,1,1
184,76,17,2,1
185,77,30,1,1
186,77,42,2,1
187,78,30,1,1
188,78,42,2,1
189,79,30,1,1
190,79,42,2,1
191,80,30,1,1
192,80,42,2,1
193,81,30,1,1
194,81,42,2,1
195,82,43,1,1
196,82,43,2,1
197,83,43,1,1
198,83,43,2,1
199,84,43,1,1
200,84,43,2,1
201,85,43,1,1
202,85,43,2,1
203,86,25,1,1
204,86,14,2,1
205,87,25,1,1
206,87,14,2,1
207,88,25,1,1
208,88,44,2,1
209,88,45,2,2
210,88,46,2,3
211,89,30,1,1
212,89,18,2,1
213,90,30,1,1
214,90,18,2,1
215,91,30,1,1
216,91,31,2,1
217,92,30,1,1
218,92,47,2,1
219,93,30,1,1
220,93,47,2,1
221,94,28,1,1
222,94,29,2,1
223,95,7,1,1
224,95,48,2,1
225,95,15,3,1
226,96,7,1,1
227,96,44,2,1
228,96,49,3,1
229,97,7,1,1
230,97,29,2,1
231,98,7,1,1
232,98,7,2,1
233,98,43,3,1
234,99,7,1,1
235,99,7,2,1
236,99,43,3,1
237,100,7,1,1
238,100,7,2,1
239,100,12,2,2
240,100,30,3,1
241,101,7,1,1
242,101,7,2,1
243,101,30,3,1
244,102,30,1,1
245,102,50,1,2
246,102,30,2,1
247,102,51,4,1
248,102,52,4,2
249,103,30,1,1
250,103,30,2,1
251,104,30,1,1
252,104,53,2,1
253,104,30,2,2
254,104,13,3,1
255,105,54,1,1
256,105,55,2,1
257,106,54,1,1
258,106,55,2,1
259,107,54,1,1
260,107,55,2,1
261,108,56,1,1
262,108,44,2,1
263,108,56,2,2
264,108,56,3,1
265,109,57,1,1
266,109,48,2,1
267,109,58,2,2
268,109,59,3,1
269,110,57,1,1
270,110,59,2,1
271,110,30,2,2
272,110,58,2,3
273,110,48,2,4
274,110,57,2,5
275,110,59,3,1
276,111,57,1,1
277,111,48,2,1
278,111,59,3,1
279,112,57,1,1
280,112,48,2,1
281,112,59,3,1
282,113,57,1,1
283,113,59,2,1
284,113,48,2,2
285,113,30,2,3
286,113,60,2,4
287,114,57,1,1
288,114,48,2,1
289,114,61,2,2
290,114,59,3,1
291,115,30,1,1
292,115,62,2,1
293,116,30,1,1
294,116,62,2,1
295,116,63,2,2
296,117,30,1,1
297,117,62,2,1
298,118,25,1,1
299,118,17,2,1
300,119,18,1,1
301,119,17,2,1
302,120,18,1,1
303,120,17,2,1
304,120,64,2,2
305,121,65,1,1
306,121,18,2,1
307,121,17,2,2
308,121,64,2,3
309,122,38,1,1
310,122,17,2,1
311,122,18,2,2
312,123,30,1,1
313,123,17,2,1
314,124,30,1,1
315,124,17,2,1
316,125,30,1,1
317,125,17,2,1
318,126,30,1,1
319,126,17,2,1
320,127,64,1,1
321,127,66,2,1
322,128,30,1,1
323,128,65,2,1
324,129,57,1,1
325,129,67,2,1
326,129,68,3,1
327,129,30,3,2
328,130,30,1,1
329,130,67,2,1
330,130,69,3,1
331,131,30,1,1
332,131,53,2,1
333,131,69,3,1
334,132,30,1,1
335,132,70,2,1
336,132,17,3,1
337,133,71,1,1
338,133,48,2,1
339,133,15,3,1
340,134,71,1,1
341,134,48,2,1
342,134,13,3,1
343,135,28,1,1
344,135,30,2,1
345,135,13,3,1
346,136,72,1,1
347,136,73,1,2
348,136,74,2,1
349,136,73,2,2
350,137,72,1,1
351,137,73,1,2
352,137,74,2,1
