id,issue_id,link_type,url
1,1,download,https://yadi.sk/d/TnZnYh7FuVa1BQ
2,2,download,https://yadi.sk/d/0fdJqRL750MHIw
3,3,download,https://yadi.sk/d/RNvZ7HQMPpi2zw
4,4,download,https://yadi.sk/d/27-F194w7jHibg
5,5,download,https://yadi.sk/d/7xKjCUDXmU37LA
6,6,download,https://yadi.sk/d/OEogvlysKJZ6SQ
7,7,download,https://yadi.sk/d/f32mgqRvNApZ1w
8,8,download,https://yadi.sk/d/AjILA8HsokAoeg
9,9,download,https://yadi.sk/d/FWYoftZDJCoD_w
10,11,download,https://yadi.sk/d/-q9kRMHHZug-2A
11,20,download,https://yadi.sk/d/1hQ_Nzh23Fxdng
12,21,download,https://yadi.sk/d/kPaOSZaFQI0mgw
13,22,download,https://yadi.sk/d/gEx4T0MY0jTp3A
14,23,download,https://yadi.sk/d/pEH6Z60a7N9Yhg
15,24,download,https://yadi.sk/d/u4SUc1G1gKQc0A
16,25,download,https://yadi.sk/d/8tc__DarexZnTQ
17,26,download,https://yadi.sk/d/hJ4pSwYDGc813w
18,27,download,https://yadi.sk/d/vj2W2Kq9P3-DaQ
19,28,download,https://yadi.sk/d/MnSCymNTe1dzNw
20,29,download,https://yadi.sk/d/58ShDbNa8yUVOw
21,30,download,https://yadi.sk/d/BDUdpjIBAYq5Iw
22,31,download,https://yadi.sk/d/Vp31yfIfxXnDdg
23,32,download,https://yadi.sk/d/rhcGO4xk4rWGgw
24,33,download,https://yadi.sk/d/rq3HX2-lmngH7Q
25,34,download,https://yadi.sk/d/DpLpTTwUysW64w
26,35,download,https://yadi.sk/d/oDNuqlvI0wFcwQ
27,36,download,https://yadi.sk/d/l4ZBSz7rhSnwxg
28,37,download,https://yadi.sk/d/SNXXnNnIySHBew
29,38,download,https://yadi.sk/d/bjyZj4wsu58USw
30,39,download,https://yadi.sk/d/B_rL8FBHh9Ey3w
31,40,download,https://yadi.sk/d/efcIDPuhoXwYnw
32,41,download,https://yadi.sk/d/d_ZQJAj08qrDXw
33,42,download,https://yadi.sk/d/RI4v_UW7Xgl0Ww
34,43,download,https://yadi.sk/d/rzCBJHXOK2wUVw
35,44,download,https://yadi.sk/d/N7C_I7-a-askRg
36,45,download,https://yadi.sk/d/EWNRMLWNzfDJGw
37,46,download,https://yadi.sk/d/z338t9S5GYCEHw
38,47,download,https://yadi.sk/d/gUl5-EGmdYwdWA
39,49,download,https://yadi.sk/d/H33yUdjxwA4NDw
40,50,download,https://yadi.sk/d/jSuPA16IggFQ5g
41,51,download,https://yadi.sk/d/8wNeITbvGsAGNg
42,52,download,https://yadi.sk/d/eBcGbKFAK-t7fw
43,53,download,https://yadi.sk/d/PHT-ytnEkoKQJg
44,54,download,https://yadi.sk/d/PCDDgix1cFgeTg
45,55,download,https://yadi.sk/d/3ycZpbXYCFc6hw
