id,issue_id,tag
1,3,по
2,2481,amazing spider-man
3,2481,spider-man
4,2488,amazing spider-man
5,2488,spider-man
6,2488,spectacular spider-man
7,2487,amazing spider-man
8,2487,spider-man
9,2487,spectacular spider-man
10,2480,amazing spider-man
11,2480,spider-man
12,2480,spectacular spider-man
13,2472,amazing spider-man
14,2472,spider-man
15,2472,spectacular spider-man
16,2447,amazing spider-man
17,2447,spider-man
18,2447,spectacular spider-man
19,2440,amazing spider-man
20,2440,spider-man
21,2440,spectacular spider-man
22,2409,amazing spider-man
23,2409,spider-man
24,2409,spectacular spider-man
25,2369,amazing spider-man
26,2369,spider-man
27,2369,spectacular spider-man
28,2368,amazing spider-man
29,2368,spider-man
30,2368,spectacular spider-man
31,2348,amazing spider-man
32,2348,spider-man
33,2348,spectacular spider-man
34,2463,amazing spider-man
35,2463,spider-man
36,2463,spectacular spider-man
37,3004,Batman
38,3092,Batman
39,3092,Legends of The Dark Knight
40,3111,Batman
41,3111,Legends of The Dark Knight
42,3111,Annual
43,7339,Marvel
