"id","parentid","posi","name","alt_name","icon","skin","descr","keywords","news_sort","news_msort","news_number","short_tpl","full_tpl","metatitle","show_sub","allow_rss","fulldescr","disable_search","disable_main","disable_rating","disable_comments","xfields","enable_dzen","enable_turbo","active","rating_type","schema_org"
1,0,1,Marvel,marvel,"","",Комиксы Marvel — читайте онлайн или скачивай на русском языке в переводе команды RPU.,"комиксы марвел, marvel, читать, скачать, онлайн, русском языке",title,ASC,0,"","","Комиксы Марвел (Marvel) — читать онлайн, скачать на русском бесплатно — RPU",2,1,"Подразделение корпорации Marvel Entertainment, занимающееся изданием комиксов. Среди поклонников комиксов получила прозвище «Дом идей». Marvel наиболее известна сериями комиксов про супергероев в числе которых «Росомаха», «Фантастическая Четвёрка», «Человек-Паук», «Невероятный Халк», «Железный Человек», «Сорвиголова», «Тор», «Капитан Америка» и «Люди Икс». Большинство персонажей комиксов Marvel обитают в одной вымышленной вселенной, получившей название \'Вселенная Marvel\'.<br>В 2009 году куплена Disney за 4 миллиарда $.",0,0,0,0,status|Перевод продолжается,1,1,1,-1,"1"
2,0,314,DC,dc,"","","","","","",0,"","","Комиксы ДС (DC) на русском языке — скачать, читать онлайн бесплатно — RPU",2,1,"Одно из крупнейших и наиболее популярных издательств комиксов. Наиболее популярно благодаря сериям про супергероев среди которых Бэтмен, Супермен, Зеленый фонарь и Флэш.<br>Издательство было куплено компанией Warner Bros. Entertainment в 1969.",0,0,0,0,status|Перевод продолжается,1,1,1,-1,"1"
3,0,711,Dark Horse,dark-horse,"","","","","","",0,"","","Комиксы Dark Horse на русском языке — скачать, читать онлайн бесплатно — RPU",2,1,"Одно из крупнейших издательств в Америке, входящее в большую четверку. Издательство по большей части публикует мрачные мистические комиксы и мангу (\""Город Грехов\"", \""Hellsing\"", \""Хеллбой\""). А также Dark Horse может похвастаться множеством комиксов по известным лицензиям (\""Звёздные войны\"",\""Чужие\"", \""Хищник\"", \""Баффи\"").",0,0,0,0,status|Перевод продолжается,1,1,1,-1,"1"
4,0,838,Image,image,"","","","","","",0,"","","Комиксы Image на русском языке — скачать, читать онлайн бесплатно — RPU",2,1,"Компания, основанная в 1992 году семью художниками, которые хотели иметь полные права на своих персонажей и серии, не заботясь о копирайтах. На данный момент Image является одним из четырех крупнейших комикс-издательств в Америке. Специализируется на комиксах самых разнообразных жанров и направлений, обычно ориентированных на взрослую аудиторию. \""Spawn\"", \""Walking Dead\"", \""Invincible\"" - все это комиксы Image.",0,0,0,0,status|Перевод продолжается,1,1,1,-1,"1"
5,0,615,"2000AD","2000ad","","","","","","",0,"","","Комиксы 2000AD на русском языке — скачать, читать онлайн бесплатно — RPU",2,1,"Изначально 2000 AD был британским журналом в котором публиковались разнообразные комиксы от самых разных авторов в числе которых между тем Алан Мур, Нил Гейман и Грант Моррисон. Затем под покровительством 2000 AD стали выпускаться еще несколько изданий. Самый популярный и известный комикс издательства - это без сомнений \""Судья Дредд\"".",0,0,0,0,status|Перевод продолжается,1,1,1,-1,"1"
6,0,625,Albatross,albatross,"","","","","","",0,"","","Комиксы Albatross на русском языке — скачать, читать онлайн бесплатно — RPU",2,1,"",0,0,0,0,status|Перевод продолжается,1,1,1,-1,"1"
7,0,627,Alias,alias,"","","","","","",0,"","","Комиксы Alias на русском языке — скачать, читать онлайн бесплатно — RPU",2,1,"Издательство с очень специфичными комиксами интересными узкой аудитории. После хорошего старта, с каждым годом дела у компании шли все хуже и в итоге она была куплена корпорацией Lamp Post. Наиболее примечательная серия, которая пережила издательство - это XIII.",0,0,0,0,status|Перевод продолжается,1,1,1,-1,"1"
8,0,635,Archaia,archaia,"","","","","","",0,"","","Комиксы Archaia на русском языке — скачать, читать онлайн бесплатно — RPU",2,1,"Издательство основанное Марком Смайли ради одного его комикса, но в итоге запустившая еще с десяток серий в жанре фантастики и фэнтэзи.<br>В 2008 году была куплена компанией Kunoichi.",0,0,0,0,status|Перевод продолжается,1,1,1,-1,"1"
9,1,18,Amazing Spider-Man (1963) ,amazing-spider-man-1963,/uploads/amazing-spider-man-1963.jpg,"","","",title,"",0,"","","Комикс Удивительный Человек-Паук | Amazing Spider-Man (1963) Marvel скачать на русском, читать онлайн — RPU",0,1,"Впервые, Человек-Паук появился в журнале «Amazing Fantasy #15» (авг. 1962). Журнал этот, оказался не популярен, но фанаты настолько полюбили нового героя, что в скорее свет увидел новый комикс. Первый номер журнала – «Amazing Spider-Man» (Удивительный Человек-Паук) был выпущен в марте 1963 года. Создателем нового героя являются Стэн Ли и Стив Дитко, этот дуэт сделал 38 выпусков Удивительного Человека - Паука с 1963 до 1966. С тех пор, много авторов и художников работали над ежемесячными выпусками комикса. Комикс «Amazing Spider-Man», теперь именуют классическим, поскольку он был первым (и много лет, единственным) регулярным журналом про Человека-Паука.<br><br>Amazing Spider-Man #378-379 переведены и оформлены командой Comixopolis",0,0,0,0,status|Перевод завершён||number-com|441||download|https://yadi.sk/d/PKPX4wum5eLXWg,1,1,1,-1,"1"
10,0,648,Avatar,avatar,"","","","","","",0,"","","Комиксы Avatar на русском языке — скачать, читать онлайн бесплатно — RPU",2,1,"Avatar Press - независимое американское издательство комиксов, основанное в 1996 году Уильямом А. Кристенсеном. Известно за публикации жёстких, кровавых комиксов со взрослым рейтингом. Известные серии: Blackgas, Doktor Sleepless, No Hero, Crossed и RoboCop.",0,0,0,0,status|Перевод продолжается,1,1,1,-1,"1"
11,0,657,Benitez,benitez,"","","","","","",0,"","","Комиксы Benitez на русском языке — скачать, читать онлайн бесплатно — RPU",2,1,"Известный художник Джо Бенитез ушёл на вольные хлеба, открыв в 2010-м небольшое издательство для своих серий Wraithborn и Lady Mechanika.",0,0,0,0,status|Перевод продолжается,1,1,1,-1,"1"
12,0,660,Big City Comics,big-city-comics,"","","","","","",0,"","","Комиксы Big City Comics на русском языке — скачать, читать онлайн бесплатно — RPU",2,1,"",0,0,0,0,status|Перевод продолжается,1,1,1,-1,"1"
13,0,664,Bongo,bongo,"","","","","","",0,"","","Комиксы Bongo на русском языке — скачать, читать онлайн бесплатно — RPU",2,1,"Издательство основанное четырьмя авторами в числе которых Мэтт Гроунинг. Издательство занимается выпуском комиксов по мотивам мультсериалов \""Симпсоны\"" и \""Футурама\"" и названо в честь персонажа придуманного Гроунингом - кролика по имени Бонго.",0,0,0,0,status|Перевод продолжается,1,1,1,-1,"1"
14,0,667,Boom! Studios,boom-studios,"","","","","","",0,"","","Комиксы Boom! Studios на русском языке — скачать, читать онлайн бесплатно — RPU",2,1,"Американское издательство, собравшее несколько наград как лучший начинающий издатель. Издает самые разнообразные комиксы в числе которых и супергероика, графические книги, комиксы по лицензиям (28 дней спустя, Крепкий орешек, Farscape), комиксы по Warhammer, а также серии по лицензиям Disney и Pixar.",0,0,0,0,status|Перевод продолжается,1,1,1,-1,"1"
15,0,684,Boundless,boundless,"","","","","","",0,"","","Комиксы Boundless на русском языке — скачать, читать онлайн бесплатно — RPU",2,1,"",0,0,0,0,status|Перевод продолжается,1,1,1,-1,"1"
16,0,687,Chaos!,chaos,"","","","","","",0,"","","Комиксы Chaos! на русском языке — скачать, читать онлайн бесплатно — RPU",2,1,"Издательство с крайне неоднозначным набором комиксов. По большей части держалось на плаву за счет серии \""Lady Death\"" и комиксам по лицензиям различных музыкальных групп и федерации рестлинга. В 2002 году издательство закрылось и все серии, за исключением Lady Death, перешли в распоряжение Dynamite.",0,0,0,0,status|Перевод продолжается,1,1,1,-1,"1"
17,0,693,Coffee Table,coffee-table,"","","","","","",0,"","","Комиксы Coffee Table на русском языке — скачать, читать онлайн бесплатно — RPU",2,1,"",0,0,0,0,status|Перевод продолжается,1,1,1,-1,"1"
18,0,695,Coffin Comics,coffin-comics,"","","","",date,"",0,"","","Комиксы Coffin Comics на русском языке — скачать, читать онлайн бесплатно — RPU",2,1,"Сравнительно молодое издательство, позиционирующее себя как издатель комиксов о плохих парнях и девчонках. И это не удивительно - ведь его глава - Брайан Пулидо, создавший в начале 90-х культовое независимое издательство Chaos! Comics, которое было пронизано духом рок-н-ролла. В Coffin Comics тоже есть этот дух, как и любовь к лёгкой эротике и крови.",0,0,0,0,status|Перевод продолжается,1,1,1,-1,"1"
