"id","search","search_eng","found","news_list","search_rus","search_date","IP","query_num","member_name","memory_usage","MySQL_time","tpl_time"
2,spider-n,"",0,"","","2020-01-10 08:18:55","46.17.201.74",3,admin,2.0,0.0,0.0
85,flash,"",1,"","","2020-01-10 16:05:09","46.165.10.69",3,Гость,2.0,0.0,0.0
22,transmetropolitan,"",0,"","","2020-01-10 08:38:27","87.103.173.100",3,Гость,2.0,0.0,0.0
26,"13 coi","",1,"1716|13 Coins #01","","2020-01-10 09:52:27","46.17.201.74",4,admin,2.0,0.0,0.0
29,vsibyf,"",0,"","","2020-01-10 11:48:25","91.202.206.123",3,Гость,2.0,0.0,0.0
33,мышиная ш,"",0,"","","2020-01-10 11:48:28","91.202.206.123",3,Гость,2.0,0.0,0.0
37,мышиная гвардия,"",0,"","","2020-01-10 11:48:30","91.202.206.123",3,Гость,2.0,0.0,0.0
46,mouse guard,"",0,"","","2020-01-10 11:48:47","91.202.206.123",3,Гость,2.0,0.0,0.0
49,preacher,"",1,"","","2020-01-10 11:59:18","5.144.100.187",4,Иван Семёнов,2.0,0.0,0.0
52,падающая девочка,"",0,"","","2020-01-10 15:17:26","93.94.183.83",3,Гость,2.0,0.0,0.0
58,spider lost,"",0,"","","2020-01-10 15:54:52","46.165.10.69",3,Гость,2.0,0.0,0.0
66,spider man lost,"",0,"","","2020-01-10 15:55:04","46.165.10.69",3,Гость,2.0,0.0,0.0
68,Адф,"",0,"","","2020-01-10 16:02:12","46.17.201.74",4,admin,2.0,0.0,0.0
69,Ад,"",0,"","","2020-01-10 16:02:13","46.17.201.74",4,admin,2.0,0.0,0.0
72,Flaimz,"",0,"","","2020-01-10 16:02:17","46.17.201.74",4,admin,2.0,0.0,0.0
76,Docent,"",0,"","","2020-01-10 16:02:35","46.17.201.74",4,admin,2.0,0.0,0.0
82,Spider-man,"",1,"","","2020-01-10 16:02:46","46.17.201.74",4,admin,2.0,0.0,0.0
92,secret wars,"",1,"","","2020-01-10 16:13:58","46.165.10.69",3,Гость,2.0,0.0,0.0
102,October faction,"",1,"","","2020-01-10 17:32:22","78.106.43.217",3,Гость,2.0,0.0,0.0
103,«Локки и ключ»,"",0,"","","2020-01-10 20:56:05","95.161.247.212",3,Гость,2.0,0.0,0.0
105,«Локки и ключ,"",0,"","","2020-01-10 20:56:09","95.161.247.212",3,Гость,2.0,0.0,0.0
106,Локки и ключ,"",0,"","","2020-01-10 20:56:10","95.161.247.212",3,Гость,2.0,0.0,0.0
