"id","news_id","member","ip","rating"
1,4,noname,"94.140.138.197",5
2,4,PeterParker,"94.140.138.197",3
3,4,noname,"178.46.89.247",4
4,2470,PeterParker,"46.17.201.74",5
5,2498,noname,"46.17.201.78",4
6,2459,noname,"83.149.37.228",5
7,2459,noname,"46.165.10.69",5
8,2458,Fantast Bg,"195.43.71.210",4
9,7,PeterParker,"46.17.201.74",4
10,8,PeterParker,"46.17.201.74",3
11,9,PeterParker,"46.17.201.74",4
12,21,PeterParker,"46.17.201.74",4
13,22,PeterParker,"46.17.201.74",4
14,23,PeterParker,"46.17.201.74",4
15,24,PeterParker,"46.17.201.74",4
16,25,PeterParker,"46.17.201.74",3
17,26,PeterParker,"46.17.201.74",4
18,27,PeterParker,"46.17.201.74",3
19,28,PeterParker,"46.17.201.74",4
20,64,PeterParker,"46.17.201.74",4
21,65,PeterParker,"46.17.201.74",3
22,66,PeterParker,"46.17.201.74",3
23,67,PeterParker,"46.17.201.74",4
24,68,PeterParker,"46.17.201.74",3
25,69,PeterParker,"46.17.201.74",4
26,70,PeterParker,"46.17.201.74",4
27,71,PeterParker,"46.17.201.74",3
28,72,PeterParker,"46.17.201.74",4
29,73,PeterParker,"46.17.201.74",3
30,74,PeterParker,"46.17.201.74",3
31,75,PeterParker,"46.17.201.74",3
32,76,PeterParker,"46.17.201.74",3
33,118,PeterParker,"46.17.201.74",3
34,119,PeterParker,"46.17.201.74",3
35,120,PeterParker,"46.17.201.74",4
36,121,PeterParker,"46.17.201.74",3
37,122,PeterParker,"46.17.201.74",3
38,123,PeterParker,"46.17.201.74",3
39,124,PeterParker,"46.17.201.74",4
40,125,PeterParker,"46.17.201.74",4
41,126,PeterParker,"46.17.201.74",5
42,127,PeterParker,"46.17.201.74",4
43,128,PeterParker,"46.17.201.74",3
44,129,PeterParker,"46.17.201.74",3
45,130,PeterParker,"46.17.201.74",3
46,131,PeterParker,"46.17.201.74",3
47,132,PeterParker,"46.17.201.74",3
48,133,PeterParker,"46.17.201.74",4
49,134,PeterParker,"46.17.201.74",3
50,135,PeterParker,"46.17.201.74",3
51,136,PeterParker,"46.17.201.74",3
52,137,PeterParker,"46.17.201.74",3
53,138,PeterParker,"46.17.201.74",3
54,139,PeterParker,"46.17.201.74",3
55,140,PeterParker,"46.17.201.74",3
56,141,PeterParker,"46.17.201.74",3
57,142,PeterParker,"46.17.201.74",3
58,143,PeterParker,"46.17.201.74",3
59,269,PeterParker,"46.17.201.74",4
60,270,PeterParker,"46.17.201.74",3
61,271,PeterParker,"46.17.201.74",3
62,272,PeterParker,"46.17.201.74",3
63,273,PeterParker,"46.17.201.74",3
64,274,PeterParker,"46.17.201.74",2
65,275,PeterParker,"46.17.201.74",3
66,276,PeterParker,"46.17.201.74",3
67,277,PeterParker,"46.17.201.74",3
68,589,PeterParker,"46.17.201.74",2
69,590,PeterParker,"46.17.201.74",3
70,591,PeterParker,"46.17.201.74",3
71,592,PeterParker,"46.17.201.74",3
72,593,PeterParker,"46.17.201.74",3
73,594,PeterParker,"46.17.201.74",3
74,595,PeterParker,"46.17.201.74",3
75,596,PeterParker,"46.17.201.74",3
76,597,PeterParker,"46.17.201.74",3
77,610,PeterParker,"46.17.201.74",3
78,611,PeterParker,"46.17.201.74",3
79,612,PeterParker,"46.17.201.74",3
80,613,PeterParker,"46.17.201.74",3
81,614,PeterParker,"46.17.201.74",3
82,615,PeterParker,"46.17.201.74",3
83,616,PeterParker,"46.17.201.74",3
84,617,PeterParker,"46.17.201.74",3
85,618,PeterParker,"46.17.201.74",3
86,623,PeterParker,"46.17.201.74",3
87,624,PeterParker,"46.17.201.74",3
88,625,PeterParker,"46.17.201.74",3
89,626,PeterParker,"46.17.201.74",2
90,627,PeterParker,"46.17.201.74",3
91,628,PeterParker,"46.17.201.74",3
92,629,PeterParker,"46.17.201.74",5
93,630,PeterParker,"46.17.201.74",5
94,631,PeterParker,"46.17.201.74",3
95,632,PeterParker,"46.17.201.74",3
96,634,PeterParker,"46.17.201.74",3
97,636,PeterParker,"46.17.201.74",3
98,643,PeterParker,"46.17.201.74",3
99,645,PeterParker,"46.17.201.74",3
100,647,PeterParker,"46.17.201.74",2
101,650,PeterParker,"46.17.201.74",3
102,651,PeterParker,"46.17.201.74",3
103,652,PeterParker,"46.17.201.74",3
104,653,PeterParker,"46.17.201.74",3
105,654,PeterParker,"46.17.201.74",3
106,655,PeterParker,"46.17.201.74",4
107,743,PeterParker,"46.17.201.74",3
108,744,PeterParker,"46.17.201.74",3
109,745,PeterParker,"46.17.201.74",3
110,746,PeterParker,"46.17.201.74",3
111,747,PeterParker,"46.17.201.74",3
112,748,PeterParker,"46.17.201.74",2
113,749,PeterParker,"46.17.201.74",3
114,750,PeterParker,"46.17.201.74",3
115,751,PeterParker,"46.17.201.74",3
116,752,PeterParker,"46.17.201.74",3
117,753,PeterParker,"46.17.201.74",2
118,754,PeterParker,"46.17.201.74",3
119,842,PeterParker,"46.17.201.74",3
121,2467,noname,"109.252.83.175",1
122,2467,FlaimZ,"37.192.35.70",5
123,2458,FlaimZ,"37.192.35.70",5
124,95,noname,"89.199.76.249",5
125,2457,noname,"89.199.76.249",5
126,96,noname,"89.199.76.249",4
127,97,noname,"89.199.76.249",4
128,98,noname,"89.199.76.249",5
129,99,noname,"89.199.76.249",5
130,100,noname,"89.199.76.249",5
131,101,noname,"89.199.76.249",4
132,2412,noname,"89.199.76.249",5
133,2613,noname,"92.37.212.57",3
134,2618,noname,"188.244.35.141",5
135,2665,Капитан Щито,"188.244.35.141",5
136,2657,Капитан Щито,"188.244.35.141",5
137,2491,noname,"109.200.244.55",5
138,2492,noname,"109.200.244.55",5
139,2470,noname,"109.200.244.55",5
140,2459,noname,"109.200.244.55",5
141,2543,noname,"109.200.244.55",5
142,7,noname,"109.200.244.55",5
143,8,noname,"109.200.244.55",5
144,9,noname,"109.200.244.55",5
145,21,noname,"109.200.244.55",5
146,22,noname,"109.200.244.55",5
147,23,noname,"109.200.244.55",5
148,24,noname,"109.200.244.55",5
149,25,noname,"109.200.244.55",5
