"id","plugin_id","file","action","searchcode","replacecode","active","searchcount","replacecount","filedisable","filedleversion","fileversioncompare"
16,1,engine/ajax/adminfunction.php,before,echo $buffer;,require_once DLEPlugins::Check(ENGINE_DIR.'/modules/xcats/admin/includes/ajax_adminfunction.php');,0,0,0,1,"",""
17,1,engine/classes/templates.class.php,before,"if (strpos ( $this->template, ""{catmenu"" ) !== false) {",require DLEPlugins::Check(ENGINE_DIR.'/modules/xcats/xcats.php');,0,0,0,1,"",""
18,1,engine/classes/templates.class.php,before,"if (strpos ( $template, ""{catnewscount"" ) !== false) {",require DLEPlugins::Check(ENGINE_DIR.'/modules/xcats/xcats.php');,0,0,0,1,"",""
19,1,engine/classes/templates.class.php,after,$category = intval($category_id);,require DLEPlugins::Check(ENGINE_DIR.'/modules/xcats/xcats.php');,0,0,0,1,"",""
20,1,engine/inc/categories.php,before,"$db->query( ""INSERT INTO "" . USERPREFIX . ""_admin_logs (name, date, ip, action, extras) values ('"".$db->safesql($member_id['name']).""', '{$_TIME}', '{$_IP}', '12', '{$cat_name}')"" );",require_once DLEPlugins::Check(ENGINE_DIR.'/modules/xcats/admin/includes/category_action.php');,0,0,0,1,"",""
21,1,engine/inc/categories.php,after,"$row['fulldescr'] = $parse->decodeBBCodes( $row['fulldescr'], false );",require DLEPlugins::Check(ENGINE_DIR.'/modules/xcats/admin/includes/edit_category.php');,0,0,0,1,"",""
22,1,engine/inc/categories.php,after,"$db->query( ""INSERT INTO "" . USERPREFIX . ""_admin_logs (name, date, ip, action, extras) values ('"".$db->safesql($member_id['name']).""', '{$_TIME}', '{$_IP}', '14', '{$cat_name}')"" );",require DLEPlugins::Check(ENGINE_DIR.'/modules/xcats/admin/includes/category_action.php');,0,0,0,1,"",""
23,1,engine/inc/categories.php,after,$skinlist = SelectSkin( '' );,require DLEPlugins::Check(ENGINE_DIR.'/modules/xcats/admin/includes/add_category.php');,0,0,0,1,"",""
24,1,engine/inc/categories.php,before,"</div> <div class=""panel-footer""> <button type=""submit"" ",{$output},0,0,0,1,"",""
25,1,engine/inc/categories.php,before,"</div> <div class=""modal-footer"" style=""margin-top:-20px;""> <button type=""submit"" ",{$output},0,0,0,1,"",""
26,1,engine/inc/help.php,before,if ( file_exists( DLEPlugins::Check(ROOT_DIR . '/language/' . $selected_language . '/help.lng' )) ) {,require_once DLEPlugins::Check(ENGINE_DIR . '/modules/xcats/admin/includes/ajax_help.php');,0,0,0,1,"",""
44,6,engine/modules/main.php,after,$tpl->compile ( 'main' );,require ENGINE_DIR.'/modules/randomajaxposts/site/includes/main.php';,1,0,0,1,"",""
45,6,engine/engine.php,before,"if( $not_allow_cats[0] != """" ) {",require ENGINE_DIR.'/modules/randomajaxposts/site/includes/engine_top.php';,1,0,0,1,"",""
46,6,engine/engine.php,before,} } elseif ($do == 'lastnews') {,require ENGINE_DIR.'/modules/randomajaxposts/site/includes/engine_category.php';,1,0,0,1,"",""
47,6,engine/engine.php,before,} elseif ($subaction == 'userinfo') { // ################,require ENGINE_DIR.'/modules/randomajaxposts/site/includes/engine_xfsearch.php';,1,0,0,1,"",""
