"id","news_id","tag"
3,3,по
4,2481,amazing spider-man
5,2481,spider-man
6,2488,amazing spider-man
7,2488,spider-man
8,2488,spectacular spider-man
9,2487,amazing spider-man
10,2487,spider-man
11,2487,spectacular spider-man
12,2480,amazing spider-man
13,2480,spider-man
14,2480,spectacular spider-man
15,2472,amazing spider-man
16,2472,spider-man
17,2472,spectacular spider-man
18,2447,amazing spider-man
19,2447,spider-man
20,2447,spectacular spider-man
21,2440,amazing spider-man
22,2440,spider-man
23,2440,spectacular spider-man
24,2409,amazing spider-man
25,2409,spider-man
26,2409,spectacular spider-man
27,2369,amazing spider-man
28,2369,spider-man
29,2369,spectacular spider-man
30,2368,amazing spider-man
31,2368,spider-man
32,2368,spectacular spider-man
33,2348,amazing spider-man
34,2348,spider-man
35,2348,spectacular spider-man
36,2463,amazing spider-man
37,2463,spider-man
38,2463,spectacular spider-man
39,3004,Batman
40,3092,Batman
41,3092,Legends of The Dark Knight
42,3111,Batman
43,3111,Legends of The Dark Knight
44,3111,Annual
45,7339,Marvel
