"id","news_id","tagname","tagvalue"
19615,1291,perevodchik,J3RICHO
19616,1291,oformlenie,J3RICHO
20509,2673,perevodchik,SaintKrishna
20510,2673,oformlenie,Oleg-D
20511,2673,taiper,Oleg-D
20512,2673,redaktor,Валя
20513,2673,redaktor,Xailex
22162,1164,perevodchik,Rain_SVK
22163,1164,oformlenie,Ghost
25102,2491,perevodchik,vantus
25103,2491,oformlenie,Zmeeed
25104,2491,taiper,FlaimZ
25105,2491,redaktor,Xailex
25499,2873,perevodchik,Sanada
25500,2873,oformlenie,Legion
25501,2873,redaktor,hufflehalf
25757,2307,perevodchik,Kane
25758,2307,oformlenie,Фрэнк
28640,1690,perevodchik,ShaLeMan
28641,1690,oformlenie,ShaLeMan
32379,3580,perevodchik,Oleg-D
32380,3580,oformlenie,Фей
32381,3580,redaktor,getuerk
34253,536,perevodchik,Тигра
34254,536,oformlenie,Oleg-D
34255,536,oformlenie,Imperators
34256,536,taiper,FlaimZ
34906,3458,perevodchik,Sasasych
34907,3458,oformlenie,Sasasych
34908,3458,team,Comics Translate Inc.
35095,3141,perevodchik,orc01
35096,3141,oformlenie,orc01
35097,3141,team,Comixopolis
48412,5996,perevodchik,АнтошКа
48413,5996,oformlenie,EliZiuM
48414,5996,team,Comics Maniac Project
50688,5877,perevodchik,Getuerk
50689,5877,oformlenie,maks_gora
50690,5877,redaktor,EliZiuM
50691,5877,redaktor,Anniversary
50692,5877,team,Comics Maniac Project
50806,4585,perevodchik,MaximR
50807,4585,oformlenie,MaximR
50808,4585,redaktor,EliZiuM
50809,4585,team,Comics Maniac Project
51242,4179,perevodchik,Akim
51243,4179,oformlenie,EliZiuM
51244,4179,team,Comics Maniac Project
52642,6429,perevodchik,AluminumSulphate
52643,6429,oformlenie,АнтошКа
52644,6429,taiper,ZeILeD
52645,6429,redaktor,EliZiuM
52646,6429,team,Comics Maniac Project
53242,6404,perevodchik,Akim
53243,6404,oformlenie,EliZiuM
53244,6404,team,Comics Maniac Project
55801,4827,perevodchik,EliZiuM
55802,4827,oformlenie,EliZiuM
55803,4827,redaktor,Tulippa
55804,4827,redaktor,Anniversary
55805,4827,team,Comics Maniac Project
55822,4835,perevodchik,EliZiuM
55823,4835,oformlenie,EliZiuM
55824,4835,redaktor,EliZiuM
55825,4835,redaktor,Anniversary
55826,4835,team,Comics Maniac Project
56907,5047,perevodchik,Nabasa
56908,5047,oformlenie,EliZiuM
56909,5047,taiper,Владимир Харченко
56910,5047,redaktor,EliZiuM
56911,5047,redaktor,Anniversary
56912,5047,team,Comics Maniac Project
57016,4993,perevodchik,Mitridatus
57017,4993,oformlenie,EliZiuM
57018,4993,redaktor,EliZiuM
57019,4993,redaktor,Anniversary
57020,4993,team,Comics Maniac Project
58022,5285,perevodchik,Xailex
58023,5285,oformlenie,EliZiuM
58024,5285,taiper,Владимир Харченко
58025,5285,redaktor,Anniversary
58026,5285,together,L.B.S.
58027,5285,team,Comics Maniac Project
59242,5513,perevodchik,Nabasa
59243,5513,oformlenie,EliZiuM
59244,5513,redaktor,EliZiuM
59245,5513,team,Comics Maniac Project
59339,5573,perevodchik,Akim
59340,5573,oformlenie,EliZiuM
59341,5573,team,Comics Maniac Project
60083,6186,perevodchik,АнтошКа
60084,6186,oformlenie,EliZiuM
60085,6186,team,Comics Maniac Project
60410,6127,perevodchik,Akim
60411,6127,oformlenie,EliZiuM
60412,6127,team,Comics Maniac Project
60863,6320,perevodchik,Ивона Марр
60864,6320,oformlenie,EliZiuM
60865,6320,redaktor,Anniversary
60866,6320,team,Comics Maniac Project
61132,6497,perevodchik,mk2k
61133,6497,oformlenie,maks_gora
61134,6497,taiper,ZeILeD
61135,6497,redaktor,EliZiuM
61136,6497,team,Comics Maniac Project
61201,6593,perevodchik,MaximR
61202,6593,oformlenie,MaximR
61203,6593,redaktor,EliZiuM
61204,6593,team,Comics Maniac Project
61302,6524,perevodchik,AluminumSulphate
61303,6524,oformlenie,EliZiuM
61304,6524,team,Comics Maniac Project
61367,6587,perevodchik,MaximR
61368,6587,oformlenie,MaximR
61369,6587,redaktor,Tulippa
61370,6587,redaktor,EliZiuM
61371,6587,team,Comics Maniac Project
62421,6812,perevodchik,Imperators
62422,6812,oformlenie,Zmeeed
62423,6812,taiper,Disa
62424,6812,redaktor,Gordon_Round
62425,6812,team,Russian Project Universe
63267,7003,perevodchik,Wolverim Red
63268,7003,oformlenie,Uazzo
63269,7003,redaktor,Gordon_Round
63270,7003,team,Russian Project Universe
63346,6941,perevodchik,EliZiuM
63347,6941,oformlenie,EliZiuM
63348,6941,redaktor,EliZiuM
63349,6941,team,Russian Project Universe
64362,7130,perevodchik,Volkov
64363,7130,oformlenie,Daniil Sochinskiy
64364,7130,redaktor,Gordon_Round
64365,7130,team,Russian Project Universe
64473,7151,perevodchik,Akim
64474,7151,oformlenie,EliZiuM
64475,7151,redaktor,EliZiuM
64476,7151,team,Russian Project Universe
64477,7153,perevodchik,Sasasych
64478,7153,oformlenie,Disa
64479,7153,redaktor,дореф
64480,7153,team,Russian Project Universe
64590,7157,perevodchik,Alex-boger
64591,7157,oformlenie,Zmeeed
64592,7157,taiper,Daniil Sochinskiy
64593,7157,redaktor,Valera
64594,7157,team,Russian Project Universe
64607,7156,perevodchik,Nabasa
64608,7156,oformlenie,EliZiuM
64609,7156,redaktor,EliZiuM
64610,7156,team,Russian Project Universe
64615,7161,perevodchik,Nabasa
64616,7161,oformlenie,EliZiuM
64617,7161,redaktor,EliZiuM
64618,7161,team,Russian Project Universe
64629,7159,perevodchik,versi0
64630,7159,oformlenie,John Doe
64631,7159,redaktor,Gordon_Round
64632,7159,together,Frankengeek
64633,7159,team,Russian Project Universe
64638,7162,perevodchik,Nabasa
64639,7162,oformlenie,KazikZ
64640,7162,together,BATCOM
64641,7162,team,Russian Project Universe
64642,7163,perevodchik,Nabasa
64643,7163,oformlenie,EliZiuM
64644,7163,together,BATCOM
64645,7163,team,Russian Project Universe
64646,7152,perevodchik,AraklionS
64647,7152,oformlenie,Oleg-D
64648,7152,taiper,Greedy
64649,7152,redaktor,Comandante
64650,7152,team,Russian Project Universe
64679,7175,perevodchik,Nabasa
64680,7175,oformlenie,EliZiuM
64681,7175,redaktor,EliZiuM
64682,7175,team,Russian Project Universe
64683,7169,perevodchik,Akim
64684,7169,oformlenie,EliZiuM
64685,7169,redaktor,EliZiuM
64686,7169,team,Russian Project Universe
64687,7158,perevodchik,Akim
64688,7158,oformlenie,EliZiuM
64689,7158,redaktor,EliZiuM
64690,7158,team,Russian Project Universe
64691,1,perevodchik,vantus
64692,1,oformlenie,jimjack
64693,1,taiper,Overlord
64694,1,redaktor,Валя
64695,1,redaktor,rurumiya
64696,2,perevodchik,Getuerk
64697,2,oformlenie,Тигра
64698,2,redaktor,Filis
64699,2,redaktor,Xailex
64700,3,perevodchik,Enigmatic
64701,3,oformlenie,Disa
64702,3,oformlenie,Zmeeed
64703,3,taiper,fantast
64704,4,perevodchik,vantus
64705,4,oformlenie,jimjack
64706,4,oformlenie,Shaleman
64707,4,taiper,FlaimZ
64708,4,redaktor,Xailex
64709,5,perevodchik,vantus
64710,5,oformlenie,jimjack
64711,5,taiper,Overlord
64712,5,redaktor,Валя
64713,5,redaktor,rurumiya
64714,6,perevodchik,vantus
64715,6,oformlenie,jimjack
64716,6,taiper,Overlord
64717,6,redaktor,Xailex
64718,6,redaktor,Валя
64719,7,perevodchik,Cmaptfon
64720,7,oformlenie,Блэйз
64721,7,oformlenie,Ghost
64722,8,perevodchik,Gonome
64723,8,oformlenie,Блэйз
64724,8,oformlenie,SALIH
64725,9,perevodchik,Warrior
64726,9,oformlenie,Блэйз
64727,11,perevodchik,vantus
64728,11,oformlenie,jimjack
64729,11,taiper,FlaimZ
64730,11,redaktor,Xailex
64731,11,redaktor,Валя
64732,20,perevodchik,vantus
64733,20,oformlenie,jimjack
64734,20,taiper,FlaimZ
64735,20,redaktor,Xailex
64736,21,perevodchik,Warrior
64737,21,oformlenie,Блэйз
64738,22,perevodchik,Warrior
64739,22,oformlenie,Блэйз
64740,23,perevodchik,aschukin
64741,23,oformlenie,aschukin
64742,24,perevodchik,Warrior
64743,24,oformlenie,FLM
64744,25,perevodchik,Tarantion
64745,25,oformlenie,Блэйз
64746,26,perevodchik,Devil_HS
64747,26,oformlenie,FLM
64748,27,perevodchik,Warrior
64749,27,oformlenie,FLM
64750,28,perevodchik,aschukin
64751,28,oformlenie,Блэйз
64752,29,perevodchik,FlaimZ
64753,29,oformlenie,Squirrel
64754,29,redaktor,Alfa4
64755,29,redaktor,Xailex
64756,29,together,RusX
64757,30,perevodchik,FlaimZ
64758,30,oformlenie,Squirrel
64759,30,redaktor,Alfa4
64760,30,redaktor,Xailex
64761,30,together,RusX
64762,31,perevodchik,FlaimZ
64763,31,oformlenie,Squirrel
64764,31,redaktor,Alfa4
64765,31,redaktor,Xailex
64766,31,together,RusX
64767,32,perevodchik,FlaimZ
64768,32,oformlenie,Squirrel
64769,32,redaktor,Xailex
64770,32,together,RusX
64771,33,perevodchik,FlaimZ
64772,33,oformlenie,Squirrel
64773,33,redaktor,Xailex
64774,33,together,RusX
64777,35,perevodchik,Septerra
64778,35,oformlenie,Фей
64779,36,perevodchik,Septerra
64780,36,oformlenie,Фей
64781,37,perevodchik,Septerra
64782,37,oformlenie,Фей
64783,38,perevodchik,Septerra
64784,38,oformlenie,Фей
64793,42,perevodchik,ERA
64794,42,oformlenie,ERA
64795,43,perevodchik,ERA
